field,year,papers,repos,questions,papers_growth,papers_z,papers_burst,repos_growth,repos_z,repos_burst,questions_growth,questions_z,questions_burst,csi,csi_slope,graph_degree,graph_aa_max,graph_conductance_max,target
AIAppliedMathematics,2015,955373,1376,8991,,-1.1249477730937312,0.0,,-1.5365316438077874,0.0,,-1.025474532313616,0.0,0.0,,4.0,2.164042561333445,1.1515955106264204,1
AIAppliedMathematics,2016,1053526,3900,16135,0.10273788352821356,-1.0360302999131377,0.0,1.8343023255813953,-1.3899786258213864,0.0,0.7945723501279056,-0.3338213923165925,0.0,0.13265197763372222,0.13265197763372222,4.0,2.164042561333445,1.1515955106264204,1
AIAppliedMathematics,2017,1140332,16219,27160,0.08239568838358058,-0.9573921515436064,0.0,3.158717948717949,-0.6746907381135925,0.0,0.683297180043384,0.7335744459346931,0.0,0.4408224549813654,0.3081704773476432,4.0,2.164042561333445,1.1515955106264204,0
AIAppliedMathematics,2018,1349704,20327,29429,0.18360617784995958,-0.7677206265289126,0.0,0.25328318638633696,-0.4361646692197198,0.0,0.08354197349042702,0.9532498343240052,1.0,0.53994843388854,0.09912597890717456,4.0,2.164042561333445,1.1515955106264204,1
AIAppliedMathematics,2019,1574241,21119,29837,0.16636017971347794,-0.5643110244224977,0.0,0.038962955674718414,-0.39017814376598386,0.0,0.013863875768799439,0.9927507415354814,1.0,0.57350529703418,0.03355686314563999,4.0,2.164042561333445,1.1515955106264204,0
AIAppliedMathematics,2020,1927955,31438,34105,0.2246885959646585,-0.24387909561135113,0.0,0.4886121501965055,0.208982154412174,0.0,0.1430438717029192,1.4059612120712173,1.0,0.7901649945650137,0.2166596975308337,4.0,2.164042561333445,1.1515955106264204,0
AIAppliedMathematics,2021,2241887,32774,26471,0.1628316013599902,0.04051404764998676,0.0,0.042496342006488996,0.28655538421797094,0.0,-0.2238381468992816,0.6668682570408032,0.0,0.7341538544807742,-0.056011140084239464,4.0,2.164042561333445,1.1515955106264204,0
AIAppliedMathematics,2022,2559744,34582,21778,0.1417810085878548,0.3284628752228977,0.0,0.05516568011228418,0.39153472515276205,0.0,-0.1772883532922821,0.21251100815977977,0.0,0.7225005564774528,-0.011653298003321377,4.0,2.164042561333445,1.1515955106264204,0
AIAppliedMathematics,2023,3341581,38665,12998,0.30543562168716876,1.0367343542311371,1.0,0.11806720259094328,0.6286091991775143,0.0,-0.40315915143723025,-0.6375330244793393,0.0,0.7248013473335414,0.002300790856088586,4.0,2.164042561333445,1.1515955106264204,1
AIAppliedMathematics,2024,3676034,40762,6855,0.10008825163896962,1.339717611570893,1.0,0.0542350963403595,0.7503689767993379,1.0,-0.4726111709493769,-1.2322733994795794,0.0,0.6994997484766601,-0.025301598856881324,4.0,2.164042561333445,1.1515955106264204,0
