year,n_test,positive_rate,roc_auc,pr_auc,brier
2017,5,0.2,1.0,1.0,0.07643130895020193
2018,5,0.8,1.0,1.0,0.1225631492982708
2019,5,0.8,1.0,1.0,0.09155521992305322
2020,5,0.2,1.0,1.0,0.1113419126554149
2021,5,0.0,,0.0,0.1383411466626398
2022,5,0.2,0.5,0.3333333333333333,0.2041039830618696
2023,5,0.8,1.0,1.0,0.19481558418834138
2024,5,0.0,,0.0,0.5865804175192968
2025,5,0.0,,0.0,0.001357894724786204
